nome,cpf,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email
  joão silva ,747.402.843-85,11 91234-5678,1980-01-22,Minas Gerais,"R$ 4.048,48",5,2025-06-14,cliente164@email.com
  joão silva  ,716.422.734-38,11912345678,1980-01-25,MG,"R$ 6.076,86",3,2025-01-29,cliente28@email.com
MARIA SOUZA,471.585.533-15,11912345678,28-03-1980,S.Paulo,"R$ 4.573,73",4,2026-03-25,cliente448@email.com
Carlos José,992.472.663-36,nan,12/05/1980,MG,"R$ 5.394,36",3,2025-07-13,cliente193@email.com
   fernanda lima,641.336.378-14,11 91234-5678,20-12-1980,MG,"R$ 3.135,92",2,2025-08-28,cliente239@email.com
   fernanda lima,718.910.344-89,91234-5678,31/02/2000,Espírito Santo,"R$ 4.087,71",7,2026-12-26,cliente724@email.com
   fernanda lima,520.173.647-37,11 91234-5678,1980-11-12,S.Paulo,3036.45,7,2027-01-01,cliente730@email.com
MARIA SOUZA,548.523.559-65,11912345678,29/10/1980,Minas Gerais,"R$ 3.389,60",5,2025-05-17,cliente135@email.com
ANA paula ,827.875.362-45,11912345678,1980-10-22,ES,"R$ 1.948,78",5,2026-10-27,cliente664@email.com
Carlos José  ,360.872.449-17,11912345678,30/03/1980,São Paulo,"R$ 2.470,80",4,2025-11-08,cliente311@email.com
MARIA SOUZA  ,375.875.782-85,11912345678,09/10/1980,ES,"R$ 3.286,77",3,2025-05-21,cliente140@email.com
  joão silva,945.606.695-34,11912345678,1980-02-04,Espírito Santo,"R$ 2.739,69",7,2026-04-19,cliente473@email.com
Pedro  Santos  ,539.847.338-19,11912345678,1980-11-18,Rio de Janeiro,"R$ 2.438,16",5,2025-01-07,cliente6@email.com
ANA paula,695.699.853-95,11912345678,24-02-1980,SP,"R$ 2.997,21",4,2026-12-30,cliente728@email.com
Carlos José ,652.467.246-55,91234-5678,22/07/1980,RJ,"R$ 2.723,33",7,2027-01-26,cliente755@email.com
ANA paula,669.991.626-43,11 91234-5678,15/04/1980,SP,"R$ 3.211,40",8,2025-03-15,cliente73@email.com
  joão silva  ,936.475.443-68,11912345678,31-05-1980,Rio de Janeiro,"R$ 2.602,68",4,2026-07-14,cliente559@email.com
Pedro  Santos,128.196.109-67,91234-5678,16-01-1980,SP,"R$ 3.536,41",3,2025-10-27,cliente299@email.com
  joão silva ,255.466.818-15,11912345678,1980-03-16,sp,"R$ 3.069,37",2,2025-05-26,cliente145@email.com
ANA paula ,645.663.723-91,11912345678,08/01/1980,SP,"R$ 1.417,78",5,2025-10-20,cliente292@email.com
  joão silva,541.647.552-86,11912345678,07-04-1980,MG,"R$ 3.041,29",6,2025-08-23,cliente234@email.com
   fernanda lima  ,852.558.379-69,11912345678,06/07/1980,SP,"R$ 2.664,76",7,2025-08-09,cliente220@email.com
Pedro  Santos ,549.463.975-82,(11) 91234-5678,18-06-1980,S.Paulo,"R$ 1.503,84",5,2026-03-27,cliente450@email.com
   fernanda lima,525.646.401-35,(11) 91234-5678,1980-07-26,S.Paulo,"R$ 2.775,15",5,2026-01-16,cliente380@email.com
   fernanda lima  ,183.229.842-79,(11) 91234-5678,1980-09-22,Rio de Janeiro,"R$ 1.527,96",7,2025-05-13,cliente132@email.com
  joão silva  ,970.236.701-25,nan,22-11-1980,Espírito Santo,1978.86,4,2026-01-11,cliente375@email.com
Carlos José,952.483.544-50,91234-5678,03-12-1980,S.Paulo,"R$ 2.400,18",7,2026-02-09,cliente404@email.com
Pedro  Santos  ,431.683.555-70,11 91234-5678,1980-06-05,Minas Gerais,"R$ 2.809,76",4,2026-06-07,cliente522@email.com
  joão silva ,923.760.198-85,11 91234-5678,1980-08-13,sp,"R$ 2.746,05",6,2027-01-20,cliente749@email.com
MARIA SOUZA  ,143.196.653-15,(11) 91234-5678,05/05/1980,São Paulo,"R$ 1.664,14",7,2026-03-03,cliente426@email.com
Pedro  Santos  ,915.780.880-54,11 91234-5678,1980-10-24,Minas Gerais,"R$ 3.475,37",6,2025-02-11,cliente41@email.com
ANA paula,107.400.442-56,11 91234-5678,16/06/1980,Espírito Santo,"R$ 2.198,47",4,2026-05-11,cliente495@email.com
  joão silva,799.973.113-84,11912345678,11/11/1980,RJ,"R$ 3.240,21",2,2025-04-19,cliente108@email.com
ANA paula  ,973.965.590-98,91234-5678,1980-05-13,S.Paulo,"R$ 2.631,06",2,2025-12-11,cliente344@email.com
MARIA SOUZA  ,830.291.116-21,11 91234-5678,1981-01-09,Espírito Santo,"R$ 3.670,91",6,2025-02-26,cliente56@email.com
  joão silva ,867.365.636-75,11912345678,1980-10-05,sp,"R$ 3.501,69",3,2025-09-17,cliente259@email.com
ANA paula ,172.862.735-28,(11) 91234-5678,1980-01-16,Rio de Janeiro,"R$ 1.801,61",6,2026-04-25,cliente479@email.com
Carlos José  ,729.832.330-62,11 91234-5678,09/05/1980,ES,"R$ 3.249,42",5,2026-09-18,cliente625@email.com
Carlos José  ,638.259.248-17,11 91234-5678,25/10/1980,S.Paulo,"R$ 3.289,18",4,2025-08-16,cliente227@email.com
Carlos José ,786.660.582-42,11 91234-5678,06-07-1980,Espírito Santo,"R$ 1.783,42",3,2025-08-01,cliente212@email.com
   fernanda lima,814.803.860-90,(11) 91234-5678,04/04/1980,RJ,"R$ 2.387,02",3,2026-08-17,cliente593@email.com
Carlos José,633.959.896-22,11912345678,1981-01-07,São Paulo,"R$ 3.549,68",0,2025-11-29,cliente332@email.com
   fernanda lima ,789.949.161-26,(11) 91234-5678,09-03-1980,S.Paulo,"R$ 3.190,92",2,2025-01-25,cliente24@email.com
  joão silva ,535.210.252-30,11 91234-5678,1980-06-16,Minas Gerais,"R$ 2.060,03",4,2027-02-20,cliente780@email.com
ANA paula,476.119.686-25,91234-5678,28/04/1980,sp,"R$ 2.408,72",10,2025-12-18,cliente351@email.com
Carlos José ,841.568.921-30,(11) 91234-5678,25-11-1980,sp,"R$ 2.153,57",9,2025-12-23,cliente356@email.com
MARIA SOUZA ,547.955.464-44,11912345678,1980-09-02,RJ,"R$ 2.875,98",7,2025-02-21,cliente51@email.com
   fernanda lima,355.697.761-98,(11) 91234-5678,14-09-1980,ES,"R$ 2.004,83",4,2025-11-28,cliente331@email.com
Carlos José  ,555.702.889-36,(11) 91234-5678,20-10-1980,S.Paulo,"R$ 1.042,66",8,2027-01-04,cliente733@email.com
MARIA SOUZA ,825.130.436-64,91234-5678,27-05-1980,ES,"R$ 3.381,73",-10,2026-09-22,cliente629@email.com
   fernanda lima ,231.922.554-37,11912345678,03/09/1980,MG,"R$ 2.438,66",4,2026-05-17,cliente501@email.com
   fernanda lima  ,562.535.382-59,11 91234-5678,31/02/2000,Rio de Janeiro,"R$ 1.698,41",0,2025-12-01,cliente334@email.com
  joão silva  ,345.841.690-30,11 91234-5678,1980-07-06,RJ,"R$ 2.985,73",4,2025-10-13,cliente285@email.com
MARIA SOUZA,409.984.342-83,91234-5678,26/09/1980,MG,"R$ 2.524,20",5,2025-01-19,cliente18@email.com
ANA paula  ,163.190.216-20,(11) 91234-5678,31/02/2000,Minas Gerais,3019.73,4,2026-08-08,cliente584@email.com
  joão silva,832.679.808-20,11912345678,1980-03-11,S.Paulo,"R$ 2.446,82",4,2027-01-19,cliente748@email.com
   fernanda lima  ,839.620.777-57,11 91234-5678,1980-11-13,São Paulo,"R$ 2.498,77",4,2025-03-25,cliente83@email.com
Carlos José,480.559.106-38,11912345678,10/01/1981,Minas Gerais,"R$ 2.626,73",6,2025-03-03,cliente61@email.com
Carlos José ,223.100.858-96,(11) 91234-5678,1980-01-25,RJ,"R$ 2.742,70",1,2026-04-08,cliente462@email.com
  joão silva ,728.893.609-77,11912345678,07-07-1980,RJ,"R$ 3.453,59",4,2025-10-19,cliente291@email.com
ANA paula ,326.800.575-18,(11) 91234-5678,12/12/1980,SP,"R$ 3.910,42",4,2026-03-24,cliente447@email.com
Pedro  Santos,184.893.427-57,11912345678,17/09/1980,ES,"R$ 5.277,09",5,2025-07-02,cliente182@email.com
Pedro  Santos  ,924.217.711-42,11912345678,07-08-1980,Rio de Janeiro,"R$ 3.161,70",7,2026-07-04,cliente549@email.com
  joão silva  ,887.604.768-60,11 91234-5678,03/11/1980,MG,"R$ 1.298,10",6,2026-05-16,cliente500@email.com
  joão silva  ,843.840.452-45,11912345678,12-02-1980,ES,"R$ 2.795,12",5,2025-08-12,cliente223@email.com
  joão silva ,125.980.546-75,(11) 91234-5678,28-01-1980,Rio de Janeiro,"R$ 4.092,11",6,2026-03-01,cliente424@email.com
MARIA SOUZA  ,500.650.492-86,(11) 91234-5678,31/02/2000,São Paulo,1705.65,3,2026-04-13,cliente467@email.com
ANA paula,473.880.792-41,(11) 91234-5678,19/01/1980,Espírito Santo,"R$ 925,36",4,2025-11-16,cliente319@email.com
   fernanda lima  ,629.248.496-30,11912345678,29/01/1980,sp,"R$ 3.309,89",8,2025-11-25,cliente328@email.com
Pedro  Santos  ,201.605.834-68,(11) 91234-5678,17-03-1980,São Paulo,"R$ 3.415,83",7,2026-03-20,cliente443@email.com
ANA paula  ,300.544.423-44,nan,24-11-1980,Rio de Janeiro,"R$ 2.502,04",2,2026-05-09,cliente493@email.com
ANA paula ,700.824.754-74,11912345678,1980-03-27,RJ,"R$ 3.155,32",2,2025-06-26,cliente176@email.com
   fernanda lima  ,640.270.508-69,11912345678,1980-03-23,Minas Gerais,"R$ 1.760,44",5,2026-11-08,cliente676@email.com
  joão silva,258.287.159-28,11912345678,30-01-1981,RJ,"R$ 3.827,24",5,2025-12-30,cliente363@email.com
   fernanda lima ,513.213.244-35,11912345678,05/02/1980,SP,"R$ 1.725,77",4,2025-06-13,cliente163@email.com
Pedro  Santos ,801.506.765-77,11 91234-5678,15/02/1980,ES,"R$ 1.179,24",2,2025-09-06,cliente248@email.com
ANA paula ,670.282.140-48,(11) 91234-5678,1980-05-09,S.Paulo,"R$ 2.953,74",6,2026-06-03,cliente518@email.com
ANA paula,657.552.489-47,11912345678,1980-07-24,ES,"R$ 2.827,37",4,2026-12-12,cliente710@email.com
   fernanda lima ,262.931.892-33,11 91234-5678,04/03/1980,S.Paulo,"R$ 4.062,66",8,2025-03-16,cliente74@email.com
   fernanda lima ,988.931.256-37,(11) 91234-5678,22-03-1980,MG,"R$ 3.745,15",2,2026-10-06,cliente643@email.com
ANA paula ,260.277.728-77,11 91234-5678,1980-12-03,Espírito Santo,"R$ 1.441,21",-5,2026-02-10,cliente405@email.com
  joão silva,417.210.350-16,11912345678,04-12-1980,Espírito Santo,"R$ 2.260,23",4,2025-04-15,cliente104@email.com
MARIA SOUZA,822.761.648-65,11 91234-5678,1981-01-01,MG,"R$ 2.804,30",7,2025-04-25,cliente114@email.com
   fernanda lima ,858.901.875-68,91234-5678,16-02-1980,S.Paulo,"R$ 4.033,88",7,2025-10-28,cliente300@email.com
MARIA SOUZA  ,771.562.691-63,(11) 91234-5678,03/12/1980,São Paulo,"R$ 2.540,24",5,2025-04-03,cliente92@email.com
ANA paula,593.297.709-74,11 91234-5678,21-07-1980,SP,"R$ 1.517,02",6,2026-02-16,cliente411@email.com
Carlos José  ,900.201.524-17,11 91234-5678,30/11/1980,São Paulo,"R$ 808,75",5,2025-03-31,cliente89@email.com
  joão silva ,757.423.772-45,(11) 91234-5678,09/05/1980,São Paulo,"R$ 1.757,75",5,2026-06-13,cliente528@email.com
MARIA SOUZA  ,988.448.550-22,11912345678,1980-07-26,SP,"R$ 2.331,86",1,2027-01-05,cliente734@email.com
Carlos José,213.868.157-35,(11) 91234-5678,22-03-1980,ES,"R$ 2.276,04",12,2027-01-14,cliente743@email.com
  joão silva  ,482.632.399-20,(11) 91234-5678,13-01-1981,RJ,"R$ 1.024,04",8,2026-07-30,cliente575@email.com
MARIA SOUZA  ,273.658.626-28,(11) 91234-5678,02/06/1980,S.Paulo,"R$ 3.770,80",3,2026-05-13,cliente497@email.com
Carlos José,581.827.579-74,91234-5678,15-01-1980,Rio de Janeiro,"R$ 2.487,47",7,2026-05-10,cliente494@email.com
Pedro  Santos ,684.498.916-97,11 91234-5678,1980-10-17,RJ,"R$ 3.148,88",4,2025-01-12,cliente11@email.com
Carlos José ,653.927.567-79,(11) 91234-5678,29-05-1980,Minas Gerais,"R$ 3.783,36",6,2026-03-10,cliente433@email.com
Pedro  Santos,766.521.799-16,11 91234-5678,26/11/1980,Espírito Santo,1440.07,5,2025-02-13,cliente43@email.com
Carlos José,915.780.880-54,91234-5678,23-02-1980,Espírito Santo,"R$ 3.632,45",5,2025-02-12,cliente41@email.com
ANA paula  ,753.152.403-78,11 91234-5678,05/04/1980,Espírito Santo,"R$ 2.858,47",500,2025-06-17,cliente167@email.com
Carlos José,663.201.315-63,(11) 91234-5678,1980-04-09,Minas Gerais,"R$ 1.328,83",2,2026-12-05,cliente703@email.com
Carlos José,775.646.293-72,(11) 91234-5678,10/07/1980,RJ,"R$ 4.399,49",4,2026-09-06,cliente613@email.com
MARIA SOUZA,941.952.616-11,(11) 91234-5678,04-02-1980,Espírito Santo,"R$ 2.182,32",5,2026-02-17,cliente412@email.com
   fernanda lima ,927.704.572-42,11 91234-5678,15-02-1980,MG,"R$ 2.942,09",4,2025-06-28,cliente178@email.com
Carlos José  ,183.212.836-85,(11) 91234-5678,31/02/2000,ES,"R$ 1.903,78",3,2026-06-15,cliente530@email.com
Pedro  Santos,367.518.334-74,(11) 91234-5678,19-11-1980,ES,"R$ 2.380,23",5,2026-06-24,cliente539@email.com
  joão silva ,175.810.242-30,11912345678,12-11-1980,SP,"R$ 3.398,15",3,2025-06-27,cliente177@email.com
ANA paula  ,373.102.127-79,11912345678,1980-07-11,Minas Gerais,"R$ 468,23",5,2026-10-28,cliente665@email.com
MARIA SOUZA ,184.416.311-12,(11) 91234-5678,1980-07-21,SP,"R$ 3.898,67",10,2027-02-06,cliente766@email.com
ANA paula ,774.677.958-11,11912345678,1980-01-11,S.Paulo,"R$ 3.068,07",6,2025-09-15,cliente257@email.com
MARIA SOUZA  ,749.779.490-47,(11) 91234-5678,1980-08-02,Espírito Santo,"R$ 2.621,42",6,2027-02-05,cliente765@email.com
ANA paula  ,895.376.537-27,11 91234-5678,23-12-1980,S.Paulo,"R$ 3.023,20",6,2026-06-28,cliente543@email.com
ANA paula,161.944.325-34,(11) 91234-5678,1980-09-07,Rio de Janeiro,"R$ 3.948,81",5,2025-01-16,cliente15@email.com
Carlos José,240.373.515-48,11912345678,1980-08-16,Rio de Janeiro,"R$ 3.530,98",3,2025-01-04,cliente3@email.com
Pedro  Santos  ,706.562.506-97,(11) 91234-5678,1980-07-28,Minas Gerais,"R$ 1.146,98",7,2025-12-02,cliente335@email.com
Pedro  Santos ,625.172.498-30,nan,1980-12-31,Minas Gerais,"R$ 2.233,14",3,2025-09-14,cliente256@email.com
MARIA SOUZA  ,203.313.860-33,11912345678,20-06-1980,Rio de Janeiro,"R$ 3.925,98",-10,2026-08-04,cliente580@email.com
Carlos José,636.230.452-77,11 91234-5678,12/08/1980,MG,"R$ 4.363,38",5,2026-03-22,cliente445@email.com
Carlos José,520.800.452-65,11912345678,1980-04-04,São Paulo,"R$ 3.218,66",2,2025-12-05,cliente338@email.com
Pedro  Santos  ,272.426.817-72,11912345678,29/07/1980,SP,"R$ 3.223,28",8,2026-04-24,cliente478@email.com
MARIA SOUZA ,710.803.342-72,11912345678,11-07-1980,São Paulo,"R$ 5.022,59",2,2026-02-22,cliente417@email.com
MARIA SOUZA ,972.815.660-88,(11) 91234-5678,1980-09-07,S.Paulo,"R$ 4.959,84",5,2026-10-01,cliente638@email.com
Pedro  Santos ,192.619.527-42,11 91234-5678,04/05/1980,S.Paulo,"R$ 3.075,58",7,2026-12-16,cliente714@email.com
Pedro  Santos,513.824.271-41,11912345678,1980-08-16,ES,"R$ 2.496,43",8,2025-11-21,cliente324@email.com
MARIA SOUZA ,372.936.719-20,(11) 91234-5678,17/03/1980,Espírito Santo,"R$ 3.278,80",1,2026-04-03,cliente457@email.com
Carlos José ,475.769.423-27,(11) 91234-5678,02/12/1980,SP,"R$ 5.549,01",7,2025-01-10,cliente9@email.com
ANA paula ,801.506.765-77,11 91234-5678,28/03/1980,MG,"R$ 2.294,23",4,2025-09-07,cliente249@email.com
ANA paula ,826.788.620-29,11912345678,20-07-1980,RJ,"R$ 2.924,13",8,2025-01-23,cliente22@email.com
Carlos José,401.630.679-51,11912345678,26-03-1980,S.Paulo,"R$ 1.658,94",7,2025-08-10,cliente221@email.com
Pedro  Santos ,946.140.162-32,(11) 91234-5678,19-08-1980,Espírito Santo,"R$ 822,03",13,2026-07-02,cliente547@email.com
Carlos José  ,715.294.588-38,11912345678,25-02-1980,SP,"R$ 4.315,51",6,2026-11-22,cliente690@email.com
  joão silva ,293.203.882-48,(11) 91234-5678,1980-05-31,Rio de Janeiro,"R$ 3.327,81",4,2027-02-24,cliente784@email.com
MARIA SOUZA,906.420.332-39,(11) 91234-5678,1980-12-15,Espírito Santo,"R$ 2.673,33",3,2026-09-19,cliente626@email.com
  joão silva  ,207.466.380-17,11912345678,28/07/1980,ES,"R$ 2.799,36",8,2025-12-07,cliente340@email.com
   fernanda lima,152.685.657-22,11912345678,02-07-1980,SP,"R$ 3.258,77",8,2026-11-03,cliente671@email.com
   fernanda lima,461.658.990-22,11912345678,1980-01-20,SP,"R$ 4.071,08",6,2025-07-23,cliente203@email.com
ANA paula  ,732.154.111-26,11 91234-5678,1981-01-03,São Paulo,4784.30,5,2025-08-26,cliente237@email.com
  joão silva ,185.191.759-42,(11) 91234-5678,1980-12-08,sp,"R$ 3.543,39",3,2025-04-04,cliente93@email.com
Pedro  Santos ,477.854.754-50,(11) 91234-5678,1981-01-09,sp,"R$ 2.932,13",6,2026-06-16,cliente531@email.com
Carlos José  ,261.769.693-28,(11) 91234-5678,1980-02-04,São Paulo,"R$ 5.381,71",2,2025-12-29,cliente362@email.com
   fernanda lima  ,519.710.528-82,11912345678,30-01-1980,Rio de Janeiro,"R$ 4.351,02",7,2026-06-29,cliente544@email.com
  joão silva  ,840.697.744-64,11912345678,01/01/1980,São Paulo,"R$ 2.726,27",3,2025-10-12,cliente283@email.com
  joão silva  ,764.111.232-57,(11) 91234-5678,13-04-1980,S.Paulo,"R$ 1.968,03",3,2025-07-04,cliente184@email.com
Pedro  Santos  ,570.317.927-98,(11) 91234-5678,1980-11-13,RJ,"R$ 4.021,62",9,2026-10-12,cliente649@email.com
Pedro  Santos ,632.295.789-42,11 91234-5678,1980-03-08,ES,"R$ 3.179,91",6,2026-02-01,cliente396@email.com
Carlos José  ,225.316.405-38,11912345678,1980-02-26,Rio de Janeiro,"R$ 2.951,03",1000,2025-06-03,cliente153@email.com
Carlos José,623.885.370-89,11 91234-5678,27-01-1980,S.Paulo,4178.65,5,2025-03-17,cliente75@email.com
ANA paula  ,376.255.859-71,(11) 91234-5678,16/05/1980,MG,"R$ 2.830,88",2,2026-03-30,cliente453@email.com
  joão silva,533.430.242-41,11 91234-5678,16/07/1980,MG,1542.07,9,2026-11-27,cliente695@email.com
MARIA SOUZA,871.714.651-26,(11) 91234-5678,1980-01-07,sp,"R$ 3.816,84",4,2025-10-05,cliente277@email.com
MARIA SOUZA  ,786.183.121-84,91234-5678,28/06/1980,MG,"R$ 2.481,75",3,2025-03-10,cliente68@email.com
MARIA SOUZA ,440.856.803-71,11912345678,12/06/1980,São Paulo,"R$ 1.367,99",7,2026-05-30,cliente514@email.com
Pedro  Santos  ,120.506.718-89,11912345678,20/12/1980,RJ,"R$ 1.763,86",8,2025-07-08,cliente188@email.com
ANA paula ,616.566.877-98,11 91234-5678,1980-12-23,RJ,"R$ 1.595,76",6,2025-09-29,cliente271@email.com
Carlos José ,307.717.545-39,11 91234-5678,1981-01-06,Espírito Santo,"R$ 3.334,44",3,2025-08-25,cliente236@email.com
Carlos José,643.110.400-98,11 91234-5678,25-04-1980,São Paulo,"R$ 4.096,55",6,2025-03-30,cliente88@email.com
Pedro  Santos,976.680.962-62,11 91234-5678,1980-10-18,MG,"R$ 3.418,76",3,2027-02-02,cliente762@email.com
ANA paula ,192.306.452-16,(11) 91234-5678,13/12/1980,Rio de Janeiro,"R$ 3.503,09",1,2025-04-28,cliente117@email.com
ANA paula,742.336.629-49,11912345678,09/10/1980,SP,"R$ 4.119,24",3,2025-05-06,cliente125@email.com
ANA paula ,199.130.997-25,11912345678,1980-12-19,Espírito Santo,"R$ 3.165,40",6,2026-10-23,cliente660@email.com
ANA paula,263.564.596-69,11912345678,1980-03-11,Rio de Janeiro,"R$ 3.843,84",14,2025-10-17,cliente289@email.com
MARIA SOUZA ,499.747.614-25,11912345678,07/08/1980,MG,"R$ 2.006,41",6,2025-08-27,cliente238@email.com
ANA paula  ,115.592.525-75,11 91234-5678,1980-04-15,SP,"R$ 3.685,59",1000,2025-01-01,cliente0@email.com
Carlos José  ,979.274.208-64,11912345678,05-06-1980,MG,"R$ 3.298,45",3,2027-03-03,cliente791@email.com
ANA paula  ,213.579.121-95,11912345678,1981-01-21,MG,"R$ 3.755,67",6,2026-08-26,cliente602@email.com
  joão silva,963.227.551-27,(11) 91234-5678,16/04/1980,RJ,"R$ 5.084,71",7,2027-03-06,cliente794@email.com
MARIA SOUZA  ,290.632.326-66,11912345678,1980-02-07,MG,"R$ 2.148,34",7,2026-04-11,cliente465@email.com
  joão silva,200.458.479-61,(11) 91234-5678,1980-12-02,RJ,"R$ 1.619,40",5,2025-10-06,cliente278@email.com
Carlos José ,731.993.666-36,(11) 91234-5678,31/02/2000,São Paulo,"R$ 3.293,54",8,2026-09-17,cliente624@email.com
  joão silva ,813.854.134-70,11 91234-5678,27/07/1980,São Paulo,"R$ 2.948,48",7,2025-04-27,cliente116@email.com
ANA paula ,329.811.661-76,(11) 91234-5678,16-05-1980,sp,"R$ 1.821,08",10,2025-08-17,cliente228@email.com
Carlos José,593.604.574-77,(11) 91234-5678,01-02-1980,Rio de Janeiro,"R$ 3.113,39",3,2027-01-27,cliente756@email.com
   fernanda lima  ,977.983.313-24,(11) 91234-5678,1980-10-01,RJ,"R$ 3.272,42",8,2026-02-25,cliente420@email.com
ANA paula  ,367.485.874-89,(11) 91234-5678,1980-06-21,ES,"R$ 1.529,51",7,2026-03-11,cliente434@email.com
ANA paula ,182.198.248-82,11 91234-5678,1980-08-31,sp,"R$ 4.673,36",4,2025-10-02,cliente274@email.com
Carlos José ,775.751.958-11,11 91234-5678,1980-02-13,Espírito Santo,"R$ 3.273,01",5,2025-11-15,cliente318@email.com
MARIA SOUZA  ,106.295.520-65,11 91234-5678,09/07/1980,ES,"R$ 3.149,34",2,2026-07-06,cliente551@email.com
Pedro  Santos ,596.731.655-65,11912345678,12/01/1980,sp,"R$ 2.778,96",7,2025-05-25,cliente144@email.com
MARIA SOUZA ,790.520.500-67,(11) 91234-5678,1980-08-15,sp,"R$ 2.588,98",-5,2026-10-11,cliente648@email.com
ANA paula,272.109.839-18,(11) 91234-5678,02-06-1980,RJ,"R$ 3.193,38",5,2027-01-06,cliente735@email.com
  joão silva,461.107.577-74,(11) 91234-5678,08/10/1980,RJ,"R$ 3.273,12",9,2026-12-28,cliente726@email.com
  joão silva ,921.784.658-21,(11) 91234-5678,13/06/1980,Espírito Santo,"R$ 2.979,90",5,2026-08-09,cliente585@email.com
ANA paula  ,212.282.580-27,(11) 91234-5678,25-03-1980,S.Paulo,"R$ 1.921,49",4,2026-01-05,cliente369@email.com
   fernanda lima ,642.945.631-27,11 91234-5678,02/04/1980,Rio de Janeiro,"R$ 2.519,35",5,2025-09-26,cliente268@email.com
ANA paula  ,300.468.896-86,(11) 91234-5678,09-08-1980,RJ,"R$ 4.118,55",3,2026-07-22,cliente567@email.com
MARIA SOUZA  ,116.744.247-30,(11) 91234-5678,1980-06-06,S.Paulo,"R$ 3.325,58",2,2025-11-04,cliente307@email.com
Pedro  Santos,598.639.662-67,11 91234-5678,1980-10-18,RJ,"R$ 3.518,10",8,2025-11-07,cliente310@email.com
  joão silva,824.827.325-95,(11) 91234-5678,19-02-1980,SP,"R$ 2.081,79",4,2026-03-28,cliente451@email.com
MARIA SOUZA  ,493.771.462-62,11912345678,1980-05-23,RJ,"R$ 3.227,50",4,2025-02-16,cliente46@email.com
  joão silva  ,665.111.308-87,11 91234-5678,01-02-1981,São Paulo,"R$ 2.958,71",2,2025-12-16,cliente349@email.com
Carlos José,924.217.912-42,11912345678,16/01/1980,S.Paulo,"R$ 3.399,32",7,2026-01-07,cliente371@email.com
ANA paula,208.367.544-42,11912345678,27/06/1980,Rio de Janeiro,"R$ 1.502,55",3,2026-06-08,cliente523@email.com
MARIA SOUZA  ,263.194.881-74,11 91234-5678,01/01/1981,MG,"R$ 3.078,12",3,2025-09-19,cliente261@email.com
Pedro  Santos ,747.243.205-45,11912345678,1980-04-04,Rio de Janeiro,"R$ 2.313,28",5,2025-07-15,cliente195@email.com
Carlos José,988.267.438-74,11912345678,1980-08-04,sp,"R$ 2.440,45",4,2027-03-11,cliente799@email.com
Pedro  Santos,776.201.891-11,(11) 91234-5678,16-07-1980,RJ,"R$ 4.195,53",4,2026-11-04,cliente672@email.com
Pedro  Santos ,994.614.226-50,11912345678,1980-05-09,Minas Gerais,"R$ 3.434,50",2,2025-04-18,cliente107@email.com
ANA paula  ,369.803.786-38,11912345678,31/02/2000,sp,"R$ 1.982,24",7,2025-03-01,cliente59@email.com
Pedro  Santos,246.674.905-76,(11) 91234-5678,1980-09-27,São Paulo,"R$ 2.366,77",0,2026-08-23,cliente599@email.com
   fernanda lima  ,465.857.886-41,11 91234-5678,30-05-1980,MG,"R$ 3.659,05",8,2026-03-16,cliente439@email.com
Carlos José,734.108.873-82,11 91234-5678,04-04-1980,Espírito Santo,"R$ 3.082,83",6,2025-04-11,cliente100@email.com
Carlos José  ,182.721.998-51,11912345678,08-08-1980,São Paulo,"R$ 3.540,29",6,2026-04-23,cliente476@email.com
  joão silva ,679.966.351-57,(11) 91234-5678,26/08/1980,RJ,"R$ 1.954,47",9,2026-12-20,cliente718@email.com
Carlos José ,712.263.985-28,91234-5678,07/01/1981,SP,"R$ 3.655,89",7,2026-08-07,cliente583@email.com
MARIA SOUZA  ,645.598.228-41,11912345678,08/12/1980,sp,"R$ 3.015,68",3,2027-01-08,cliente737@email.com
  joão silva,404.835.596-44,11912345678,13/02/1980,Espírito Santo,"R$ 2.264,88",6,2025-06-29,cliente179@email.com
Carlos José,200.107.944-81,11912345678,1980-10-30,S.Paulo,"R$ 2.875,71",8,2025-11-01,cliente304@email.com
Pedro  Santos,808.406.878-21,11912345678,06-05-1980,ES,"R$ 5.587,91",3,2026-03-06,cliente429@email.com
Carlos José ,361.829.382-17,(11) 91234-5678,07-07-1980,Espírito Santo,"R$ 3.034,03",6,2026-05-23,cliente507@email.com
Carlos José ,405.641.801-34,91234-5678,10/02/1980,Minas Gerais,"R$ 4.038,61",4,2027-02-10,cliente770@email.com
   fernanda lima,297.584.856-68,11912345678,1980-02-29,MG,"R$ 3.683,22",7,2025-05-30,cliente149@email.com
Pedro  Santos ,854.470.285-21,11912345678,13-07-1980,Minas Gerais,"R$ 2.060,54",6,2025-05-05,cliente124@email.com
Pedro  Santos ,507.946.121-39,11912345678,1980-04-09,RJ,4789.23,6,2026-09-27,cliente634@email.com
  joão silva ,670.189.591-80,11912345678,19-01-1981,SP,"R$ 3.952,46",5,2026-11-29,cliente697@email.com
ANA paula,392.399.839-24,(11) 91234-5678,24-07-1980,Rio de Janeiro,1734.32,3,2025-07-05,cliente185@email.com
Carlos José  ,673.148.226-34,11 91234-5678,04-02-1980,RJ,"R$ 4.684,52",4,2026-06-26,cliente541@email.com
   fernanda lima ,212.332.116-69,11912345678,22-01-1981,São Paulo,2825.27,4,2025-02-20,cliente50@email.com
