nome,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email,cpf_camuflado
Fernanda Lima,(11) 91234-5678,20/12/1980,MG,3135.92,2,28/08/2025,cliente239@email.com,xxx.xxx.xxx-14
Fernanda Lima,(27) 91234-5678,Data Errada,ES,4087.71,7,26/12/2026,cliente724@email.com,xxx.xxx.xxx-89
Fernanda Lima,(11) 91234-5678,12/11/1980,SP,303645.0,7,01/01/2027,cliente730@email.com,xxx.xxx.xxx-37
Maria Souza,(31) 11912345678,29/10/1980,MG,3389.6,5,17/05/2025,cliente135@email.com,xxx.xxx.xxx-65
Ana Paula,(27) 11912345678,22/10/1980,ES,1948.78,5,27/10/2026,cliente664@email.com,xxx.xxx.xxx-45
Carlos José,(11) 11912345678,30/03/1980,SP,2470.8,4,08/11/2025,cliente311@email.com,xxx.xxx.xxx-17
Maria Souza,(27) 11912345678,09/10/1980,ES,3286.77,3,21/05/2025,cliente140@email.com,xxx.xxx.xxx-85
João Silva,(27) 11912345678,04/02/1980,ES,2739.69,7,19/04/2026,cliente473@email.com,xxx.xxx.xxx-34
Pedro  Santos,(21) 11912345678,18/11/1980,RJ,2438.16,5,07/01/2025,cliente6@email.com,xxx.xxx.xxx-19
Ana Paula,(11) 11912345678,24/02/1980,SP,2997.21,4,30/12/2026,cliente728@email.com,xxx.xxx.xxx-95
Carlos José,(21) 91234-5678,22/07/1980,RJ,2723.33,7,26/01/2027,cliente755@email.com,xxx.xxx.xxx-55
Ana Paula,(11) 91234-5678,15/04/1980,SP,3211.4,8,15/03/2025,cliente73@email.com,xxx.xxx.xxx-43
João Silva,(21) 11912345678,31/05/1980,RJ,2602.68,4,14/07/2026,cliente559@email.com,xxx.xxx.xxx-68
Pedro  Santos,(11) 91234-5678,16/01/1980,SP,3536.41,3,27/10/2025,cliente299@email.com,xxx.xxx.xxx-67
João Silva,(11) 11912345678,16/03/1980,SP,3069.37,2,26/05/2025,cliente145@email.com,xxx.xxx.xxx-15
Ana Paula,(11) 11912345678,08/01/1980,SP,1417.78,5,20/10/2025,cliente292@email.com,xxx.xxx.xxx-91
João Silva,(31) 11912345678,07/04/1980,MG,3041.29,6,23/08/2025,cliente234@email.com,xxx.xxx.xxx-86
Fernanda Lima,(11) 11912345678,06/07/1980,SP,2664.76,7,09/08/2025,cliente220@email.com,xxx.xxx.xxx-69
Pedro  Santos,(11) 91234-5678,18/06/1980,SP,1503.84,5,27/03/2026,cliente450@email.com,xxx.xxx.xxx-82
Fernanda Lima,(11) 91234-5678,26/07/1980,SP,2775.15,5,16/01/2026,cliente380@email.com,xxx.xxx.xxx-35
Fernanda Lima,(11) 91234-5678,22/09/1980,RJ,1527.96,7,13/05/2025,cliente132@email.com,xxx.xxx.xxx-79
João Silva,,22/11/1980,ES,197886.0,4,11/01/2026,cliente375@email.com,xxx.xxx.xxx-25
Carlos José,(11) 91234-5678,03/12/1980,SP,2400.18,7,09/02/2026,cliente404@email.com,xxx.xxx.xxx-50
Pedro  Santos,(11) 91234-5678,05/06/1980,MG,2809.76,4,07/06/2026,cliente522@email.com,xxx.xxx.xxx-70
João Silva,(11) 91234-5678,13/08/1980,SP,2746.05,6,20/01/2027,cliente749@email.com,xxx.xxx.xxx-85
Maria Souza,(11) 91234-5678,05/05/1980,SP,1664.14,7,03/03/2026,cliente426@email.com,xxx.xxx.xxx-15
Pedro  Santos,(11) 91234-5678,24/10/1980,MG,3475.37,6,11/02/2025,cliente41@email.com,xxx.xxx.xxx-54
Ana Paula,(11) 91234-5678,16/06/1980,ES,2198.47,4,11/05/2026,cliente495@email.com,xxx.xxx.xxx-56
João Silva,(21) 11912345678,11/11/1980,RJ,3240.21,2,19/04/2025,cliente108@email.com,xxx.xxx.xxx-84
Ana Paula,(11) 91234-5678,13/05/1980,SP,2631.06,2,11/12/2025,cliente344@email.com,xxx.xxx.xxx-98
Maria Souza,(11) 91234-5678,09/01/1981,ES,3670.91,6,26/02/2025,cliente56@email.com,xxx.xxx.xxx-21
João Silva,(11) 11912345678,05/10/1980,SP,3501.69,3,17/09/2025,cliente259@email.com,xxx.xxx.xxx-75
Ana Paula,(11) 91234-5678,16/01/1980,RJ,1801.61,6,25/04/2026,cliente479@email.com,xxx.xxx.xxx-28
Carlos José,(11) 91234-5678,09/05/1980,ES,3249.42,5,18/09/2026,cliente625@email.com,xxx.xxx.xxx-62
Carlos José,(11) 91234-5678,25/10/1980,SP,3289.18,4,16/08/2025,cliente227@email.com,xxx.xxx.xxx-17
Carlos José,(11) 91234-5678,06/07/1980,ES,1783.42,3,01/08/2025,cliente212@email.com,xxx.xxx.xxx-42
Fernanda Lima,(11) 91234-5678,04/04/1980,RJ,2387.02,3,17/08/2026,cliente593@email.com,xxx.xxx.xxx-90
Carlos José,(11) 11912345678,07/01/1981,SP,3549.68,0,29/11/2025,cliente332@email.com,xxx.xxx.xxx-22
Fernanda Lima,(11) 91234-5678,09/03/1980,SP,3190.92,2,25/01/2025,cliente24@email.com,xxx.xxx.xxx-26
João Silva,(11) 91234-5678,16/06/1980,MG,2060.03,4,20/02/2027,cliente780@email.com,xxx.xxx.xxx-30
Ana Paula,(11) 91234-5678,28/04/1980,SP,2408.72,10,18/12/2025,cliente351@email.com,xxx.xxx.xxx-25
Carlos José,(11) 91234-5678,25/11/1980,SP,2153.57,9,23/12/2025,cliente356@email.com,xxx.xxx.xxx-30
Maria Souza,(21) 11912345678,02/09/1980,RJ,2875.98,7,21/02/2025,cliente51@email.com,xxx.xxx.xxx-44
Fernanda Lima,(11) 91234-5678,14/09/1980,ES,2004.83,4,28/11/2025,cliente331@email.com,xxx.xxx.xxx-98
Carlos José,(11) 91234-5678,20/10/1980,SP,1042.66,8,04/01/2027,cliente733@email.com,xxx.xxx.xxx-36
Maria Souza,(27) 91234-5678,27/05/1980,ES,3381.73,0,22/09/2026,cliente629@email.com,xxx.xxx.xxx-64
Fernanda Lima,(31) 11912345678,03/09/1980,MG,2438.66,4,17/05/2026,cliente501@email.com,xxx.xxx.xxx-37
Fernanda Lima,(11) 91234-5678,Data Errada,RJ,1698.41,0,01/12/2025,cliente334@email.com,xxx.xxx.xxx-59
João Silva,(11) 91234-5678,06/07/1980,RJ,2985.73,4,13/10/2025,cliente285@email.com,xxx.xxx.xxx-30
Maria Souza,(31) 91234-5678,26/09/1980,MG,2524.2,5,19/01/2025,cliente18@email.com,xxx.xxx.xxx-83
Ana Paula,(11) 91234-5678,Data Errada,MG,301973.0,4,08/08/2026,cliente584@email.com,xxx.xxx.xxx-20
João Silva,(11) 11912345678,11/03/1980,SP,2446.82,4,19/01/2027,cliente748@email.com,xxx.xxx.xxx-20
Fernanda Lima,(11) 91234-5678,13/11/1980,SP,2498.77,4,25/03/2025,cliente83@email.com,xxx.xxx.xxx-57
Carlos José,(31) 11912345678,10/01/1981,MG,2626.73,6,03/03/2025,cliente61@email.com,xxx.xxx.xxx-38
Carlos José,(11) 91234-5678,25/01/1980,RJ,2742.7,1,08/04/2026,cliente462@email.com,xxx.xxx.xxx-96
João Silva,(21) 11912345678,07/07/1980,RJ,3453.59,4,19/10/2025,cliente291@email.com,xxx.xxx.xxx-77
Ana Paula,(11) 91234-5678,12/12/1980,SP,3910.42,4,24/03/2026,cliente447@email.com,xxx.xxx.xxx-18
Pedro  Santos,(27) 11912345678,17/09/1980,ES,5277.09,5,02/07/2025,cliente182@email.com,xxx.xxx.xxx-57
Pedro  Santos,(21) 11912345678,07/08/1980,RJ,3161.7,7,04/07/2026,cliente549@email.com,xxx.xxx.xxx-42
João Silva,(11) 91234-5678,03/11/1980,MG,1298.1,6,16/05/2026,cliente500@email.com,xxx.xxx.xxx-60
João Silva,(27) 11912345678,12/02/1980,ES,2795.12,5,12/08/2025,cliente223@email.com,xxx.xxx.xxx-45
João Silva,(11) 91234-5678,28/01/1980,RJ,4092.11,6,01/03/2026,cliente424@email.com,xxx.xxx.xxx-75
Maria Souza,(11) 91234-5678,Data Errada,SP,170565.0,3,13/04/2026,cliente467@email.com,xxx.xxx.xxx-86
Ana Paula,(11) 91234-5678,19/01/1980,ES,925.36,4,16/11/2025,cliente319@email.com,xxx.xxx.xxx-41
Fernanda Lima,(11) 11912345678,29/01/1980,SP,3309.89,8,25/11/2025,cliente328@email.com,xxx.xxx.xxx-30
Pedro  Santos,(11) 91234-5678,17/03/1980,SP,3415.83,7,20/03/2026,cliente443@email.com,xxx.xxx.xxx-68
Ana Paula,,24/11/1980,RJ,2502.04,2,09/05/2026,cliente493@email.com,xxx.xxx.xxx-44
Ana Paula,(21) 11912345678,27/03/1980,RJ,3155.32,2,26/06/2025,cliente176@email.com,xxx.xxx.xxx-74
Fernanda Lima,(31) 11912345678,23/03/1980,MG,1760.44,5,08/11/2026,cliente676@email.com,xxx.xxx.xxx-69
João Silva,(21) 11912345678,30/01/1981,RJ,3827.24,5,30/12/2025,cliente363@email.com,xxx.xxx.xxx-28
Fernanda Lima,(11) 11912345678,05/02/1980,SP,1725.77,4,13/06/2025,cliente163@email.com,xxx.xxx.xxx-35
Pedro  Santos,(11) 91234-5678,15/02/1980,ES,1179.24,2,06/09/2025,cliente248@email.com,xxx.xxx.xxx-77
Ana Paula,(11) 91234-5678,09/05/1980,SP,2953.74,6,03/06/2026,cliente518@email.com,xxx.xxx.xxx-48
Ana Paula,(27) 11912345678,24/07/1980,ES,2827.37,4,12/12/2026,cliente710@email.com,xxx.xxx.xxx-47
Fernanda Lima,(11) 91234-5678,04/03/1980,SP,4062.66,8,16/03/2025,cliente74@email.com,xxx.xxx.xxx-33
Fernanda Lima,(11) 91234-5678,22/03/1980,MG,3745.15,2,06/10/2026,cliente643@email.com,xxx.xxx.xxx-37
Ana Paula,(11) 91234-5678,03/12/1980,ES,1441.21,0,10/02/2026,cliente405@email.com,xxx.xxx.xxx-77
João Silva,(27) 11912345678,04/12/1980,ES,2260.23,4,15/04/2025,cliente104@email.com,xxx.xxx.xxx-16
Maria Souza,(11) 91234-5678,01/01/1981,MG,2804.3,7,25/04/2025,cliente114@email.com,xxx.xxx.xxx-65
Fernanda Lima,(11) 91234-5678,16/02/1980,SP,4033.88,7,28/10/2025,cliente300@email.com,xxx.xxx.xxx-68
Maria Souza,(11) 91234-5678,03/12/1980,SP,2540.24,5,03/04/2025,cliente92@email.com,xxx.xxx.xxx-63
Ana Paula,(11) 91234-5678,21/07/1980,SP,1517.02,6,16/02/2026,cliente411@email.com,xxx.xxx.xxx-74
Carlos José,(11) 91234-5678,30/11/1980,SP,808.75,5,31/03/2025,cliente89@email.com,xxx.xxx.xxx-17
João Silva,(11) 91234-5678,09/05/1980,SP,1757.75,5,13/06/2026,cliente528@email.com,xxx.xxx.xxx-45
Maria Souza,(11) 11912345678,26/07/1980,SP,2331.86,1,05/01/2027,cliente734@email.com,xxx.xxx.xxx-22
Carlos José,(11) 91234-5678,22/03/1980,ES,2276.04,12,14/01/2027,cliente743@email.com,xxx.xxx.xxx-35
João Silva,(11) 91234-5678,13/01/1981,RJ,1024.04,8,30/07/2026,cliente575@email.com,xxx.xxx.xxx-20
Maria Souza,(11) 91234-5678,02/06/1980,SP,3770.8,3,13/05/2026,cliente497@email.com,xxx.xxx.xxx-28
Carlos José,(21) 91234-5678,15/01/1980,RJ,2487.47,7,10/05/2026,cliente494@email.com,xxx.xxx.xxx-74
Pedro  Santos,(11) 91234-5678,17/10/1980,RJ,3148.88,4,12/01/2025,cliente11@email.com,xxx.xxx.xxx-97
Carlos José,(11) 91234-5678,29/05/1980,MG,3783.36,6,10/03/2026,cliente433@email.com,xxx.xxx.xxx-79
Pedro  Santos,(11) 91234-5678,26/11/1980,ES,144007.0,5,13/02/2025,cliente43@email.com,xxx.xxx.xxx-16
Carlos José,(27) 91234-5678,23/02/1980,ES,3632.45,5,12/02/2025,cliente41@email.com,xxx.xxx.xxx-54
Ana Paula,(11) 91234-5678,05/04/1980,ES,2858.47,500,17/06/2025,cliente167@email.com,xxx.xxx.xxx-78
Carlos José,(11) 91234-5678,09/04/1980,MG,1328.83,2,05/12/2026,cliente703@email.com,xxx.xxx.xxx-63
Carlos José,(11) 91234-5678,10/07/1980,RJ,4399.49,4,06/09/2026,cliente613@email.com,xxx.xxx.xxx-72
Maria Souza,(11) 91234-5678,04/02/1980,ES,2182.32,5,17/02/2026,cliente412@email.com,xxx.xxx.xxx-11
Fernanda Lima,(11) 91234-5678,15/02/1980,MG,2942.09,4,28/06/2025,cliente178@email.com,xxx.xxx.xxx-42
Carlos José,(11) 91234-5678,Data Errada,ES,1903.78,3,15/06/2026,cliente530@email.com,xxx.xxx.xxx-85
Pedro  Santos,(11) 91234-5678,19/11/1980,ES,2380.23,5,24/06/2026,cliente539@email.com,xxx.xxx.xxx-74
João Silva,(11) 11912345678,12/11/1980,SP,3398.15,3,27/06/2025,cliente177@email.com,xxx.xxx.xxx-30
Ana Paula,(31) 11912345678,11/07/1980,MG,468.23,5,28/10/2026,cliente665@email.com,xxx.xxx.xxx-79
Maria Souza,(11) 91234-5678,21/07/1980,SP,3898.67,10,06/02/2027,cliente766@email.com,xxx.xxx.xxx-12
Ana Paula,(11) 11912345678,11/01/1980,SP,3068.07,6,15/09/2025,cliente257@email.com,xxx.xxx.xxx-11
Maria Souza,(11) 91234-5678,02/08/1980,ES,2621.42,6,05/02/2027,cliente765@email.com,xxx.xxx.xxx-47
Ana Paula,(11) 91234-5678,23/12/1980,SP,3023.2,6,28/06/2026,cliente543@email.com,xxx.xxx.xxx-27
Ana Paula,(11) 91234-5678,07/09/1980,RJ,3948.81,5,16/01/2025,cliente15@email.com,xxx.xxx.xxx-34
Carlos José,(21) 11912345678,16/08/1980,RJ,3530.98,3,04/01/2025,cliente3@email.com,xxx.xxx.xxx-48
Pedro  Santos,(11) 91234-5678,28/07/1980,MG,1146.98,7,02/12/2025,cliente335@email.com,xxx.xxx.xxx-97
Pedro  Santos,,31/12/1980,MG,2233.14,3,14/09/2025,cliente256@email.com,xxx.xxx.xxx-30
Maria Souza,(21) 11912345678,20/06/1980,RJ,3925.98,0,04/08/2026,cliente580@email.com,xxx.xxx.xxx-33
Carlos José,(11) 91234-5678,12/08/1980,MG,4363.38,5,22/03/2026,cliente445@email.com,xxx.xxx.xxx-77
Carlos José,(11) 11912345678,04/04/1980,SP,3218.66,2,05/12/2025,cliente338@email.com,xxx.xxx.xxx-65
Pedro  Santos,(11) 11912345678,29/07/1980,SP,3223.28,8,24/04/2026,cliente478@email.com,xxx.xxx.xxx-72
Maria Souza,(11) 11912345678,11/07/1980,SP,5022.59,2,22/02/2026,cliente417@email.com,xxx.xxx.xxx-72
Maria Souza,(11) 91234-5678,07/09/1980,SP,4959.84,5,01/10/2026,cliente638@email.com,xxx.xxx.xxx-88
Pedro  Santos,(11) 91234-5678,04/05/1980,SP,3075.58,7,16/12/2026,cliente714@email.com,xxx.xxx.xxx-42
Pedro  Santos,(27) 11912345678,16/08/1980,ES,2496.43,8,21/11/2025,cliente324@email.com,xxx.xxx.xxx-41
Maria Souza,(11) 91234-5678,17/03/1980,ES,3278.8,1,03/04/2026,cliente457@email.com,xxx.xxx.xxx-20
Carlos José,(11) 91234-5678,02/12/1980,SP,5549.01,7,10/01/2025,cliente9@email.com,xxx.xxx.xxx-27
Ana Paula,(11) 91234-5678,28/03/1980,MG,2294.23,4,07/09/2025,cliente249@email.com,xxx.xxx.xxx-77
Ana Paula,(21) 11912345678,20/07/1980,RJ,2924.13,8,23/01/2025,cliente22@email.com,xxx.xxx.xxx-29
Carlos José,(11) 11912345678,26/03/1980,SP,1658.94,7,10/08/2025,cliente221@email.com,xxx.xxx.xxx-51
Pedro  Santos,(11) 91234-5678,19/08/1980,ES,822.03,13,02/07/2026,cliente547@email.com,xxx.xxx.xxx-32
Carlos José,(11) 11912345678,25/02/1980,SP,4315.51,6,22/11/2026,cliente690@email.com,xxx.xxx.xxx-38
João Silva,(11) 91234-5678,31/05/1980,RJ,3327.81,4,24/02/2027,cliente784@email.com,xxx.xxx.xxx-48
Maria Souza,(11) 91234-5678,15/12/1980,ES,2673.33,3,19/09/2026,cliente626@email.com,xxx.xxx.xxx-39
João Silva,(27) 11912345678,28/07/1980,ES,2799.36,8,07/12/2025,cliente340@email.com,xxx.xxx.xxx-17
Fernanda Lima,(11) 11912345678,02/07/1980,SP,3258.77,8,03/11/2026,cliente671@email.com,xxx.xxx.xxx-22
Fernanda Lima,(11) 11912345678,20/01/1980,SP,4071.08,6,23/07/2025,cliente203@email.com,xxx.xxx.xxx-22
Ana Paula,(11) 91234-5678,03/01/1981,SP,478430.0,5,26/08/2025,cliente237@email.com,xxx.xxx.xxx-26
João Silva,(11) 91234-5678,08/12/1980,SP,3543.39,3,04/04/2025,cliente93@email.com,xxx.xxx.xxx-42
Pedro  Santos,(11) 91234-5678,09/01/1981,SP,2932.13,6,16/06/2026,cliente531@email.com,xxx.xxx.xxx-50
Carlos José,(11) 91234-5678,04/02/1980,SP,5381.71,2,29/12/2025,cliente362@email.com,xxx.xxx.xxx-28
Fernanda Lima,(21) 11912345678,30/01/1980,RJ,4351.02,7,29/06/2026,cliente544@email.com,xxx.xxx.xxx-82
João Silva,(11) 11912345678,01/01/1980,SP,2726.27,3,12/10/2025,cliente283@email.com,xxx.xxx.xxx-64
João Silva,(11) 91234-5678,13/04/1980,SP,1968.03,3,04/07/2025,cliente184@email.com,xxx.xxx.xxx-57
Pedro  Santos,(11) 91234-5678,13/11/1980,RJ,4021.62,9,12/10/2026,cliente649@email.com,xxx.xxx.xxx-98
Pedro  Santos,(11) 91234-5678,08/03/1980,ES,3179.91,6,01/02/2026,cliente396@email.com,xxx.xxx.xxx-42
Carlos José,(21) 11912345678,26/02/1980,RJ,2951.03,1000,03/06/2025,cliente153@email.com,xxx.xxx.xxx-38
Carlos José,(11) 91234-5678,27/01/1980,SP,417865.0,5,17/03/2025,cliente75@email.com,xxx.xxx.xxx-89
Ana Paula,(11) 91234-5678,16/05/1980,MG,2830.88,2,30/03/2026,cliente453@email.com,xxx.xxx.xxx-71
João Silva,(11) 91234-5678,16/07/1980,MG,154207.0,9,27/11/2026,cliente695@email.com,xxx.xxx.xxx-41
Maria Souza,(11) 91234-5678,07/01/1980,SP,3816.84,4,05/10/2025,cliente277@email.com,xxx.xxx.xxx-26
Maria Souza,(31) 91234-5678,28/06/1980,MG,2481.75,3,10/03/2025,cliente68@email.com,xxx.xxx.xxx-84
Maria Souza,(11) 11912345678,12/06/1980,SP,1367.99,7,30/05/2026,cliente514@email.com,xxx.xxx.xxx-71
Pedro  Santos,(21) 11912345678,20/12/1980,RJ,1763.86,8,08/07/2025,cliente188@email.com,xxx.xxx.xxx-89
Ana Paula,(11) 91234-5678,23/12/1980,RJ,1595.76,6,29/09/2025,cliente271@email.com,xxx.xxx.xxx-98
Carlos José,(11) 91234-5678,06/01/1981,ES,3334.44,3,25/08/2025,cliente236@email.com,xxx.xxx.xxx-39
Carlos José,(11) 91234-5678,25/04/1980,SP,4096.55,6,30/03/2025,cliente88@email.com,xxx.xxx.xxx-98
Pedro  Santos,(11) 91234-5678,18/10/1980,MG,3418.76,3,02/02/2027,cliente762@email.com,xxx.xxx.xxx-62
Ana Paula,(11) 91234-5678,13/12/1980,RJ,3503.09,1,28/04/2025,cliente117@email.com,xxx.xxx.xxx-16
Ana Paula,(11) 11912345678,09/10/1980,SP,4119.24,3,06/05/2025,cliente125@email.com,xxx.xxx.xxx-49
Ana Paula,(27) 11912345678,19/12/1980,ES,3165.4,6,23/10/2026,cliente660@email.com,xxx.xxx.xxx-25
Ana Paula,(21) 11912345678,11/03/1980,RJ,3843.84,14,17/10/2025,cliente289@email.com,xxx.xxx.xxx-69
Maria Souza,(31) 11912345678,07/08/1980,MG,2006.41,6,27/08/2025,cliente238@email.com,xxx.xxx.xxx-25
Ana Paula,(11) 91234-5678,15/04/1980,SP,3685.59,1000,01/01/2025,cliente0@email.com,xxx.xxx.xxx-75
Carlos José,(31) 11912345678,05/06/1980,MG,3298.45,3,03/03/2027,cliente791@email.com,xxx.xxx.xxx-64
Ana Paula,(31) 11912345678,21/01/1981,MG,3755.67,6,26/08/2026,cliente602@email.com,xxx.xxx.xxx-95
João Silva,(11) 91234-5678,16/04/1980,RJ,5084.71,7,06/03/2027,cliente794@email.com,xxx.xxx.xxx-27
Maria Souza,(31) 11912345678,07/02/1980,MG,2148.34,7,11/04/2026,cliente465@email.com,xxx.xxx.xxx-66
João Silva,(11) 91234-5678,02/12/1980,RJ,1619.4,5,06/10/2025,cliente278@email.com,xxx.xxx.xxx-61
Carlos José,(11) 91234-5678,Data Errada,SP,3293.54,8,17/09/2026,cliente624@email.com,xxx.xxx.xxx-36
João Silva,(11) 91234-5678,27/07/1980,SP,2948.48,7,27/04/2025,cliente116@email.com,xxx.xxx.xxx-70
Ana Paula,(11) 91234-5678,16/05/1980,SP,1821.08,10,17/08/2025,cliente228@email.com,xxx.xxx.xxx-76
Carlos José,(11) 91234-5678,01/02/1980,RJ,3113.39,3,27/01/2027,cliente756@email.com,xxx.xxx.xxx-77
Fernanda Lima,(11) 91234-5678,01/10/1980,RJ,3272.42,8,25/02/2026,cliente420@email.com,xxx.xxx.xxx-24
Ana Paula,(11) 91234-5678,21/06/1980,ES,1529.51,7,11/03/2026,cliente434@email.com,xxx.xxx.xxx-89
Ana Paula,(11) 91234-5678,31/08/1980,SP,4673.36,4,02/10/2025,cliente274@email.com,xxx.xxx.xxx-82
Carlos José,(11) 91234-5678,13/02/1980,ES,3273.01,5,15/11/2025,cliente318@email.com,xxx.xxx.xxx-11
Maria Souza,(11) 91234-5678,09/07/1980,ES,3149.34,2,06/07/2026,cliente551@email.com,xxx.xxx.xxx-65
Pedro  Santos,(11) 11912345678,12/01/1980,SP,2778.96,7,25/05/2025,cliente144@email.com,xxx.xxx.xxx-65
Maria Souza,(11) 91234-5678,15/08/1980,SP,2588.98,0,11/10/2026,cliente648@email.com,xxx.xxx.xxx-67
Ana Paula,(11) 91234-5678,02/06/1980,RJ,3193.38,5,06/01/2027,cliente735@email.com,xxx.xxx.xxx-18
João Silva,(11) 91234-5678,08/10/1980,RJ,3273.12,9,28/12/2026,cliente726@email.com,xxx.xxx.xxx-74
João Silva,(11) 91234-5678,13/06/1980,ES,2979.9,5,09/08/2026,cliente585@email.com,xxx.xxx.xxx-21
Ana Paula,(11) 91234-5678,25/03/1980,SP,1921.49,4,05/01/2026,cliente369@email.com,xxx.xxx.xxx-27
Fernanda Lima,(11) 91234-5678,02/04/1980,RJ,2519.35,5,26/09/2025,cliente268@email.com,xxx.xxx.xxx-27
Ana Paula,(11) 91234-5678,09/08/1980,RJ,4118.55,3,22/07/2026,cliente567@email.com,xxx.xxx.xxx-86
Maria Souza,(11) 91234-5678,06/06/1980,SP,3325.58,2,04/11/2025,cliente307@email.com,xxx.xxx.xxx-30
Pedro  Santos,(11) 91234-5678,18/10/1980,RJ,3518.1,8,07/11/2025,cliente310@email.com,xxx.xxx.xxx-67
João Silva,(11) 91234-5678,19/02/1980,SP,2081.79,4,28/03/2026,cliente451@email.com,xxx.xxx.xxx-95
Maria Souza,(21) 11912345678,23/05/1980,RJ,3227.5,4,16/02/2025,cliente46@email.com,xxx.xxx.xxx-62
João Silva,(11) 91234-5678,01/02/1981,SP,2958.71,2,16/12/2025,cliente349@email.com,xxx.xxx.xxx-87
Carlos José,(11) 11912345678,16/01/1980,SP,3399.32,7,07/01/2026,cliente371@email.com,xxx.xxx.xxx-42
Ana Paula,(21) 11912345678,27/06/1980,RJ,1502.55,3,08/06/2026,cliente523@email.com,xxx.xxx.xxx-42
Maria Souza,(11) 91234-5678,01/01/1981,MG,3078.12,3,19/09/2025,cliente261@email.com,xxx.xxx.xxx-74
Pedro  Santos,(21) 11912345678,04/04/1980,RJ,2313.28,5,15/07/2025,cliente195@email.com,xxx.xxx.xxx-45
Carlos José,(11) 11912345678,04/08/1980,SP,2440.45,4,11/03/2027,cliente799@email.com,xxx.xxx.xxx-74
Pedro  Santos,(11) 91234-5678,16/07/1980,RJ,4195.53,4,04/11/2026,cliente672@email.com,xxx.xxx.xxx-11
Pedro  Santos,(31) 11912345678,09/05/1980,MG,3434.5,2,18/04/2025,cliente107@email.com,xxx.xxx.xxx-50
Ana Paula,(11) 11912345678,Data Errada,SP,1982.24,7,01/03/2025,cliente59@email.com,xxx.xxx.xxx-38
Pedro  Santos,(11) 91234-5678,27/09/1980,SP,2366.77,0,23/08/2026,cliente599@email.com,xxx.xxx.xxx-76
Fernanda Lima,(11) 91234-5678,30/05/1980,MG,3659.05,8,16/03/2026,cliente439@email.com,xxx.xxx.xxx-41
Carlos José,(11) 91234-5678,04/04/1980,ES,3082.83,6,11/04/2025,cliente100@email.com,xxx.xxx.xxx-82
Carlos José,(11) 11912345678,08/08/1980,SP,3540.29,6,23/04/2026,cliente476@email.com,xxx.xxx.xxx-51
João Silva,(11) 91234-5678,26/08/1980,RJ,1954.47,9,20/12/2026,cliente718@email.com,xxx.xxx.xxx-57
Carlos José,(11) 91234-5678,07/01/1981,SP,3655.89,7,07/08/2026,cliente583@email.com,xxx.xxx.xxx-28
Maria Souza,(11) 11912345678,08/12/1980,SP,3015.68,3,08/01/2027,cliente737@email.com,xxx.xxx.xxx-41
João Silva,(27) 11912345678,13/02/1980,ES,2264.88,6,29/06/2025,cliente179@email.com,xxx.xxx.xxx-44
Carlos José,(11) 11912345678,30/10/1980,SP,2875.71,8,01/11/2025,cliente304@email.com,xxx.xxx.xxx-81
Pedro  Santos,(27) 11912345678,06/05/1980,ES,5587.91,3,06/03/2026,cliente429@email.com,xxx.xxx.xxx-21
Carlos José,(11) 91234-5678,07/07/1980,ES,3034.03,6,23/05/2026,cliente507@email.com,xxx.xxx.xxx-17
Carlos José,(31) 91234-5678,10/02/1980,MG,4038.61,4,10/02/2027,cliente770@email.com,xxx.xxx.xxx-34
Fernanda Lima,(31) 11912345678,29/02/1980,MG,3683.22,7,30/05/2025,cliente149@email.com,xxx.xxx.xxx-68
Pedro  Santos,(31) 11912345678,13/07/1980,MG,2060.54,6,05/05/2025,cliente124@email.com,xxx.xxx.xxx-21
Pedro  Santos,(21) 11912345678,09/04/1980,RJ,478923.0,6,27/09/2026,cliente634@email.com,xxx.xxx.xxx-39
João Silva,(11) 11912345678,19/01/1981,SP,3952.46,5,29/11/2026,cliente697@email.com,xxx.xxx.xxx-80
Ana Paula,(11) 91234-5678,24/07/1980,RJ,173432.0,3,05/07/2025,cliente185@email.com,xxx.xxx.xxx-24
Carlos José,(11) 91234-5678,04/02/1980,RJ,4684.52,4,26/06/2026,cliente541@email.com,xxx.xxx.xxx-34
Fernanda Lima,(11) 11912345678,22/01/1981,SP,282527.0,4,20/02/2025,cliente50@email.com,xxx.xxx.xxx-69
Ana Paula,(11) 91234-5678,17/12/1980,ES,1253.1,3,03/05/2026,cliente487@email.com,xxx.xxx.xxx-64
Pedro  Santos,(11) 91234-5678,17/01/1980,MG,3864.82,4,01/03/2027,cliente789@email.com,xxx.xxx.xxx-12
Carlos José,(27) 91234-5678,13/05/1980,ES,3217.8,5,01/05/2026,cliente485@email.com,xxx.xxx.xxx-11
João Silva,(11) 11912345678,22/12/1980,SP,3016.03,5,18/11/2025,cliente321@email.com,xxx.xxx.xxx-49
Fernanda Lima,(11) 91234-5678,29/05/1980,ES,2571.35,4,20/12/2025,cliente353@email.com,xxx.xxx.xxx-13
Ana Paula,(11) 91234-5678,17/06/1980,ES,4023.06,8,10/01/2027,cliente739@email.com,xxx.xxx.xxx-44
Ana Paula,(11) 91234-5678,08/06/1980,ES,3564.84,5,23/05/2025,cliente142@email.com,xxx.xxx.xxx-46
Carlos José,(11) 11912345678,14/02/1980,SP,2824.71,3,06/01/2026,cliente370@email.com,xxx.xxx.xxx-56
